Source;Title;Price;Position;Thumbnail;Link
coffeeok;Электрочайник Gorenje K17CLBK 1,7 л;2259.0;27;"<img src=""https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTHRtw_khvIV0vAk53DpPCBssEGYDkSNaMBZQ8-zCzYS8zTiHQ44EvDJJZm3Shra42pEHJpSA2Ff5KEE1nokrcrUAlIim6t4MLeNZeFmX6KPI25DatbAuCi&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://coffeeok.com.ua/product/jelektrochajnik-gorenje-k17clbk-1-7-l.html"">link</a>"
EuroHim;Електрочайник Gorenje K 17 CLBK (K17CLBK);2259.0;60;"<img src=""https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQe0MQpUe50_EM8d9X-DhBa-vCzdSKYLHUnolV3CI-RS8BKnzEHXr6hazyixBBHr1dCSv0q1EDFk_6t0XwID3yZL4tjdT-rfw&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://eurohim.com.ua/bitovaja-tehnika/tehnika-dlja-kuhni/jelektrochajniki/elektrochajnik-gorenje-k-17-clbk-k17clbk"">link</a>"
1perviy;Чайник Gorenje K17CLI;2294.05;22;"<img src=""https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRPeqyLWw4BoGaPy_Rw6zs-2uT_T_D4URRirp400Dg-ikbm__tx3hd4o-uwy55P3texCWsjQAptfELB67jdEY_Jq9C1Al_C&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://1perviy.com.ua/chajnik-gorenje-k17cli-uk"">link</a>"
ringoo.ua;Електрочайник Gorenje K17CLI Beige;2299.0;24;"<img src=""https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTi6aOrqKBphHMJx42lCO-ZN9qjvAbY5WIev7VeNZ1_90Ulmv_hfDBzzo-LC9aHYMnrcOYY0sfHIV5PJPRhRkEyAu-Y6M-Q&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://ringoo.ua/ru/elektrochajnik-gorenje-k17cli-bezhevij.html"">link</a>"
ringoo.ua;Електрочайник Gorenje K17CLBK Black;2299.0;44;"<img src=""https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS1SLZr-V3FrCqrxmKSR9a-b_mQuf7j-28kTRpCB4jINinytf_9U9Ef9aGzs9gul-Z3flojun0ex6WBC8cshKGLKrMjcqB_&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://ringoo.ua/elektrochajnik-gorenje-k17clbk-chornij.html"">link</a>"
ТопМаркет;Чайник GORENJE K17CLBK;2460.0;21;"<img src=""https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSWSzX2sckd9a-57oQanbw87jTLfViA936L-cbHC1ucjnEElueDK7r3WxucKjUSZ5HMxjr7O8oQDhEwK7TzsXc8M7Qld8r-utx1leQ9DthRyp9pc96rTiRWAw&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://topmarket.lviv.ua/chaynik-gorenje-k17clbk/?srsltid=AYJSbAfHsh5a3GvaA_rKY6W1r72npR_rJ_EvNGV0lMPk5FgsnAqiW_DcGf4"">link</a>"
ЖЖУК;Электрочайник Gorenje K17CLBK;2499.0;49;"<img src=""https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRgG31qwkiC-REzTBSO9mYdCuNLdbBGutw9GGUsIVfzzW9kDVLa4LCKY0hDGuBhLI57SpGc-UAJF0moiH0_ff6OkL4ad8uSJOJkF6xjVPpDpOR2YFEy50ea&usqp=CAE""width=""60"" height=""60"">";"<a href=""http://zhuk.ua/ru/copy_elektrochaynik-gorenje-k17s?srsltid=AYJSbAcQsdGMtPrD513c_XBXMaV4-0OEmaOituMBTctMns2B1ZHTaw__jbI"">link</a>"
590.ua;Чайник Gorenje K17CLBK;2499.0;11;"<img src=""https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQUDOXwdOWnKFJjEIN-3hdEAnCeeY7564sLBhtwTjmTSS5Y8TMmDSMSgsQ9CIwFZtgWyHxZNYhr7nQZRgfcKgDYEO2OXxo_TCYlk5kdeNNPivEjNXmPpm0d&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://590.ua/ua/smallbt/kettle/gorenje-k-17-clbk?srsltid=AYJSbAfnVTuopyipx1UgQ_lfLt9MWKOq-eBWKF43Ho3dkxNdlYh-wuk_63c"">link</a>"
coffeeok;Электрочайник Gorenje K17CLI 1,7 л;2499.0;18;"<img src=""https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpUTBDSTLxjVxRBC-rLwPqC0nmVCQf8dNEnPR7JQZBoiCq-CHjLGoTypLJTnBwEwlRg3NF-fPFOF3WLkRO2SG3i0cxHknA_wxDbW44lX5MHskQKxs6cAHs&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://coffeeok.com.ua/product/jelektrochajnik-gorenje-k17cli-1-7-l.html"">link</a>"
KV Shop;Електрочайник Gorenje K15RLBK;2499.0;28;"<img src=""https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ_n8vVZS6PcVNS9T_1ahaD3rP3_n_Ngc9eouepPn5WPiflFE7jov3c-LDxkMEozyBjvtIiCQfqqWcFGKFoNcyqdWncXCld5QXgZPPy-5xGeC-1-FPhLOTGRg&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://kvshop.com.ua/elektrochayniki/gorenje/gorenje-k-15-rlbk/?utm_source=google&utm_medium=free_merchant"">link</a>"
Prom.ua;Електрочайник Gorenje K17CLBK ОРИГИНАЛ original ПРЕДОПЛАТА 100%;2633.0;47;"<img src=""https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQMuH2i_C2EdFSGO9LEYqhCAcDoO_g73LvIU1mGDvamcRa-Py2OAv5nryrMr-CVU_tWl4SApibL7X30auGobLCDNx97_kmHaI_-j6GGBSf7H6dJ2YQsznXQ&usqp=CAE""width=""60"" height=""60"">";"<a href=""https://prom.ua/ua/p1716670378-elektrochajnik-gorenje-k17clbk.html?srsltid=AYJSbAdIsuamVP4VsvaANN93ZTHjthPMTT9AiF7wsqbh5hRT1qgEsJcUCR8"">link</a>"
